,Snippet,Sentiment
22,May: I became a little bit happier. I photoshopped my face as a llama on to Calum Hood's dick and I began to constantly drink starbucks.,neutral
23,RT @YouChoices: iTunes or Starbucks? pic.twitter.com/kg9lTHrpcq,neutral
24,"RT @dominique_ot: Don't take a soccer player to Starbucks, she'll act a fool. #soccergirlprobs #nutmeg #literally @SoccerGrlProbs pic.twitter.com/RsKBkQUWb5",negative
25,Topping up my Starbucks card. Already know I'll need coffee to get through tomorrow #NewYearsEve,neutral
26,"I liked a @YouTube video from @jkfilms youtu.be/be8BFzdhW9A?a Starbucks Polar Bear Cookies Start ""War On Christmas"" ft. Gina Darling",neutral
27,"RT @shopkickreward1: Get FREE gift cards from popular stores like Target, Starbucks, Sephora & more! Get the Shopkick App for your Phone: get.shopkick.com/fremont60522",neutral
28,"There's a drink in Starbucks called ""The Ariana Grande"" pic.twitter.com/OEcXyKNDZR",neutral
29,RT @AlexaLuria: Dear @Starbucks happy new year. A really happy new year for me would be to win Starbucks for life. I'm 1 sticker away from all. ?? me,positive
30,Starbucks Shift Supervisor - JarrowJob Description - Engaging and connecting with customers ensuring your actions... fb.me/7CaeDmpG7,neutral
31,"* $100 Starbucks GiftCard Giveaway *
Rules to Win:
�Must favorite this tweet
� Add SexPosts on Snapchat! pic.twitter.com/ZQcw4l8504",positive
32,2016 resolution: maybe go to a Starbucks and see if any of those jokes have any substance,neutral
33,RT @lazerdoov: *bursts into starbucks* Me: DO YOU GUYS HAVE A POWER OUTLET Barista: yeah over there Me: oh thank god *plugs in a mechanical bull*,neutral
34,"This is random but when I go Starbucks I always get ""Grande"" just because...",neutral
35,"RT @henrystrick: @StarbucksUK � of normal coffee? No, never. I got heart condition > can�t have much caffeine. It�s the attitude - not *caring* 4 decaffers!",neutral
36,RT @henrystrick: @StarbucksUK VERY bad experience again with Stsrbucks Brent Cross (London). �We�ve run out of decaf�. 3d time in 2015. *Ever* run out >>,negative
37,Food Service Lead Worker - Old Dominion University - Starbucks - staffingsolutionsdirect.co.uk/food-service-l� pic.twitter.com/6Rkw7CCo6I,neutral
38,@StarbucksUK used app for first time in store when buying coffees and panini but hasn't registered anything in account! Please advise Ta,neutral
39,RT @lilysoutter: It's #Giveaway time! Just #RT & #Follow us for a chance to #Win this Starbucks voucher! Ends Mon 4th Jan #Comp ?? pic.twitter.com/Yj2yr8zwFm,neutral
40,Starbucks Barista - BirminghamJob Description - You want to support your Manager to inspire and drive a team to... fb.me/7RFQOj1YJ,neutral
41,@Alysion69 it's probably some fast food or Starbucks thing or something,neutral
42,"Almost one Starbucks a week free, @mattsmith24! twitter.com/hendopolis/sta�",neutral
43,Here's what you need to know about profit shifting: mktmgl.co/1PkjJoQ #Europe #Starbucks #McDonalds #Tax pic.twitter.com/jFjm2wLOfd,neutral
44,@JoeyLovesMary @SweetlySmiles @Aniquery @Goldie5535 @JZ_Blue fuck @Starbucks the tax dodging dogs they are. I've boycotted em haha,negative
45,RT @MitchKosterman: Happy New Year. Please take extra care on the roads. ...K. Going to Starbucks. pic.twitter.com/qssNVTrrQA,positive
46,Enjoying some yummy festive treats and Eggnog lattes here at Starbucks with Angelica and Chris on� instagram.com/p/_-M63xhhDP/,positive
47,"RT @96Lalli: This is the tweet equivalent of a blonde girl in an olive colored jacket, uggs, a cup of starbucks & lack of ""even"" twitter.com/LovableNoteboo�",negative
48,"RT @96Lalli: This is the tweet equivalent of a blonde girl in an olive colored jacket, uggs, a cup of starbucks & lack of ""even"" twitter.com/LovableNoteboo�",negative
49,#Win SIGNED copies of the Coming Home Series by Meli Raine + $25 at Starbucks! #XpressoBookTours cancersuckscouk.ipage.com/bookblitz-the-�,neutral
50,"RT @gaelynnwoods: For the price of a #Starbuck's coffee, you could read a #top rated #thriller! A PERFECT SETUP amzn.to/1yV5vxw ????? @DouglasWickard",positive
51,"RT @moodysally1: PETITION: Starbucks, Get Out of SeaWorld! Orcas deserve freedom. #CaptivityKills #OpSeaWorld - Sign ... change.org/p/petition-sta� via @Change",neutral
52,#BestMemoriesOf2015 when they spelt @kanev__ name wrong at starbucks lol pic.twitter.com/3vh9TDpbQN,neutral
53,"RT @Vixella: ahaha the barista at starbucks wrote ""purple hair"" on my cup ?",neutral
54,RT @justinbieblet: i go to starbucks to find out this cute worker there had a similar tattoo as me ?? pic.twitter.com/PF4GaR0E2c,positive
55,RT @MelissaOnline: Why #Starbucks Sold Out of Those $200 Swarovski Gift Cards | @Adweek adweek.com/news/advertisi�,neutral
56,"RT @Vixella: ahaha the barista at starbucks wrote ""purple hair"" on my cup ?",neutral
57,Bitch they can like shit like Pinterest They will spend their money on STARBUCKS IPHONES AND MOTHAFUCKIN UGG BOOTS twitter.com/SeanBartley/st�,negative
58,"RT @gaelynnwoods: For the price of a #Starbuck's coffee, you could read a #top rated #thriller! A PERFECT SETUP amzn.to/1yV5vxw ????? @DouglasWickard",positive
59,@___MissLC___ @StarbucksUK I even got one double cupped & waited outside her work for 25 mins so she could have her last one #sisterlove,positive
60,RT @lilysoutter: It's #Giveaway time! Just #RT & #Follow us for a chance to #Win this Starbucks voucher! Ends Mon 4th Jan #Comp ?? pic.twitter.com/Yj2yr8zwFm,neutral
61,look at this pic of me in starbucks plotting my death pic.twitter.com/bSxFu7A21s,neutral
62,RT @NishaKatona: How India does Starbucks- this was sweet ginger tea and it was delicious @Mowglistfood pic.twitter.com/xMIQ4Zsku9,positive
63,@PeoplesNHS @CathyMcRorie I bet it'd be the same result if u asked who had minimised their tax liability in a similar way to Starbucks ,neutral
64,RT @joshgroban: Apparently Starbucks gives you a once over and decides if you're NSFW. Nailed it. pic.twitter.com/1ZKyxzhfy9,neutral
65,RT @AlexaLuria: Sincerely confused because I get 2 Starbucks a day.. So I think it's well deserved. Happy holidays - your #1 fan.,positive
66,RT @AlexaLuria: Dear @Starbucks happy new year. A really happy new year for me would be to win Starbucks for life. I'm 1 sticker away from all. ?? me,positive
67,@AlexaLuria @Starbucks LEXIE DID YOU GET YOU FREE STARBUCKS ON YOUR BIRTHDAY OR NAH,neutral
68,*toasts starbucks cup*,neutral
69,@BritObsession @britneyslays123 @endadollar @jclassybutnasty @briwainw cool! *toasts starbucks cup*,positive
70,@BiinnyTV im opposite starbucks if you wanna talk for like 30 before my ride comes :),neutral
71,@StarbucksUK no fun had when I make a pre nightshift trip to Windle Island store and it was closed at 8:30 Gutted pic.twitter.com/YaO2OTLLfO,negative
72,RT @ForwardAssist1: 2015: Forward Assist were invited to open @StarbucksKP @StarbucksUK Great Honour Thank You! @nbrlyuk pic.twitter.com/s43VovlusO,positive
73,"RT @sprudge: Mysterious ""Fuck"" Sign Appears Briefly Above Seattle Starbucks bit.ly/1YRTA6S pic.twitter.com/VOsuNkxn9P",neutral
74,"Starbucks, Nike & REI: 2015 Retail Hashtag Campaigns: Hashtags are here to stay. Let's take a look at a few th... sh.st/nIltM",neutral
75,GripeO_Feed: RT iilovelesley: Worst customer service at this Starbucks literally and I always love the vibes and smiles here just not this �,positive
76,"#business Starbucks, Nike & REI: 2015 Retail Hashtag Campaigns: Hashtags are here to stay. Let's take a look a... onforb.es/1P37w3o",neutral
77,"Forbes Market news: Starbucks, Nike & REI: 2015 Retail Hashtag Campaigns: Hashtags are here to stay. Let's tak... onforb.es/1P37w3o",neutral
78,RT @NishaKatona: How India does Starbucks- this was sweet ginger tea and it was delicious @Mowglistfood pic.twitter.com/xMIQ4Zsku9,positive
79,Going to Starbucks and ordering a depresso because of how much studying you have to do #studentproblems,neutral
80,"RT @Starbucks: Just 2 more weeks to play #StarbucksForLife. Join #MyStarbucksRewards & get cracking! sbux.co/1Qb00t1
amp.twimg.com/v/f6b30dca-5e2�",neutral
81,"RT @Starbucks: A negroni is a classic cocktail that becomes ~next level~ when you add a splash of coffee + a hint of orange.
amp.twimg.com/v/eb1be1e6-478�",neutral
82,@TrueMU hot chocolate is da best #starbucks,neutral
83,"RT @sprudge: Mysterious ""Fuck"" Sign Appears Briefly Above Seattle Starbucks bit.ly/1YRTA6S pic.twitter.com/VOsuNkxn9P",neutral
84,"RT @PostCultRev: MY STARBUCKS ORDER: The blood of the unspeakable thing that lived in the walls of my childhood home, served in a teddy bear skull",neutral
85,"RT @sprudge: Mysterious ""Fuck"" Sign Appears Briefly Above Seattle Starbucks bit.ly/1YRTA6S pic.twitter.com/VOsuNkxn9P",neutral
86,"i've been whiling away time in this starbucks since 16:45. one drink, two sandwiches, and one time magazine later ",neutral
87,"I'm at Starbucks Coffee | ??????? in Al Zour, Al Ahmadi w/ @_yousefaltaher swarmapp.com/c/egKPZjYJQVd",neutral
88,"and @iamcornelia, which was pretty cool! Martyn signed a starbucks receipt for me, as I am white trash at heart. pic.twitter.com/CwnvSPghC5",positive
89,This is why I go to #Costa #FuckYouStarbucks @ Starbucks Welcome Break - Hartshead Moor West instagram.com/p/_-DC2TQizi/,neutral
90,@BadWilf Lol Just managed to get elusive Gold Level Starbucks after 3 yrs of trying when they wiped my 47 stars on xmas day! #warpath #win,neutral
91,RT @emmagosselin7: me & Jackie drove from Chester to Manchester solely for Starbucks ??,neutral
92,@british_119 Healthiest and UnHealthiest Starbucks drinks: bit.ly/1msnPQq,neutral
93,@Revoltingfansie I'm sorry I didn't make it to Starbucks! I got it all wrong. I planned to come but got the wrong place. True story!!,neutral
94,RT @_FrancisEhidom: Starbucks twitter.com/caramel_252/st�,neutral
95,#BestMemoriesOf2015 our cute starbucks date in january where u was fetus lol ily @kanev__ pic.twitter.com/UOKSeGw0rW,positive
96,A Happy New Year to our new Starbucks Family (including our lovely community.) See you all in 2016!!!!!,positive
97,"These guys pay me to exercise
Real cash vouchers for Amazon, Starbucks, iTunes and loads more. Start earning now @bountsit",neutral
98,"@eecks winter, cute short hair, starbucks, hello internet LMAOO",positive
99,@officialroycey @Starbucks know that anywhere,neutral
100,RT @officialroycey: @BAILEYVIEW @Starbucks Sure is!,neutral
101,@BAILEYVIEW @Starbucks Sure is!,neutral
102,@officialroycey @Starbucks is that Disney village Paris,neutral
103,The Starbucks mobile model could be difficult for retailers to duplicate [but many SBucks stores don't participate!] mobilepaymentstoday.com/blogs/the-star�,negative
104,2016 is going to be the year I go through my third-stage pokemon evolution and let my presence be known to my Lush & Starbucks boyfriends.,neutral
105,Who was I with at the Starbucks on Bristol when a drunk guy screamed at me for looking like Lorde. Show yourself,neutral
106,RT @AriRememberWhen: Remember when Ariana wasn't into Starbucks before? And now well.. pic.twitter.com/oXqPbjrI40,neutral
107,"RT @ruinedpicnic: [starbucks cup says 'Jorsh' instead of Josh]
me: fucking starbucks
some guy named Jorsh: that guy just took my latte",negative
108,"Yay no work till Saturday then Sunday off (@ Starbucks in Bristol, CT) swarmapp.com/c/hN1RtGSFwYu",positive
109,what is your starbucks order? (& do they have costa coffee in the US) @clemsleebos #AskClem,neutral
110,Coffee was Discovered by Goats bit.ly/1RThj29 #starbucks #NewYearsEve #NewYearsResolutionIn5Words #sbs #uk pic.twitter.com/Ha4G957AnQ,neutral
111,RT @SoaRZiroy: So here i am sitting at starbucks and the biggest fucking nigger i have ever seen is standing behind me reading every word i ty,neutral
112,"From standing in line at @StarbucksUK to travelling 5K miles across the world to stand in @Starbucks Beverly Hills, 2015 has been a gr8 year",neutral
113,#DailyBumpsToAMillion It's my birthday tomorrow! Can you say happy birthday to me? also what is your usual starbucks order??,neutral
114,goo.gl/0LnCwZ L L #Gift #Card Starbucks Gift Card 2014 Eiffel Tower Paris METRO Bike Holiday No Cash� � twitter.com/GiftCard_Coupo�,neutral
115,Very good boy! #starbucks #cappuccino #london #happy #good #love #TagsForLikes @TagsForLikes� instagram.com/p/_992uNga4u/,positive
116,This is a new NYE! @Starbucks pic.twitter.com/sE4bpYZFHx,neutral
117,The most expensive coffee in the world is made from elephant dung bit.ly/1RThj29 #2016 #starbucks #newYear pic.twitter.com/OBq2GF1QTL,neutral
118,Is Uber ripping off its drivers? The woman who beat Starbucks and FedEx in court says yes. via /r/technology ift.tt/1TqqZPi,negative
119,"RT @TheJohnJohnShow: I saw a guy today at Starbucks. He had no iPhone, tablet or laptop. He just sat there drinking his coffee. Like some sort of fucking lunatic",neutral
120,#DailyBumpsToAMillion It's my birthday tomorrow! Can you say happy birthday to me? also what is your usual starbucks order?,neutral
121,@owens_lee @Starbucks it's all downhill from here.,neutral
122,"These guys payme to exercise.Real cash vouchers for Amazon,Starbucks,iTunes & loads more.Start earning now @bountsit pic.twitter.com/nTo0RuzLYF",neutral
123,Why Starbucks Sold Out of Those $200 Swarovski Gift Cards adweek.it/1YR0gCd pic.twitter.com/peCNWXnVvQ,neutral
124,"@StarbucksUK Ignored by server, started drink as takeaway without asking (was staying in) and then forgot to make coffee until I complained",neutral
125,"@StarbucksUK Very disappointed in your Sheffield Cineworld branch, 2nd visit even worse than the first� 1/2",negative
126,RT @ForwardAssist1: 2015: Forward Assist were invited to open @StarbucksKP @StarbucksUK Great Honour Thank You! @nbrlyuk pic.twitter.com/s43VovlusO,positive
127,It was @StarbucksUK but now @CostaCoffee is winning twitter.com/caramel_252/st�,neutral
128,At Kings Cross waiting for @phoenix_faie I'm such a good friend #starbucks #bestfriend instagram.com/p/_97utphw5a/,neutral
129,NEW Starbucks Red Zig Zag Traveler Tumbler 2014 Dot Collection - Free Shipping ift.tt/22ASU5n #Deals_UK pic.twitter.com/nVcuYJDU1t,neutral
130,@tonywaite52 Starbucks don't bother looking at their tweets and I don't think that little pic is coffee... ? not ...,neutral
131,"RT @JLDuplessie: If you support socialism but own Apple electronics, drink Starbucks, or use Uber, just know you're not a true socialist.",neutral
132,"@like_starlight It's the dumbest thing I've ever heard of, it's like sponsoring someone to not go to McDonalds or Starbucks for a month!",neutral
133,Rather pleasing decorations in @Starbucks this festive season. pic.twitter.com/YYDNKp9rMX,neutral
134,"RT @ruinedpicnic: [starbucks cup says 'Jorsh' instead of Josh]
me: fucking starbucks
some guy named Jorsh: that guy just took my latte",negative
135,RT @MartaEffing: I paid 4 the lady in front of me @ Starbucks. She hugged me. Deciding when it's the right time 2 tell her I hit her car in the parking lot.,neutral
136,New Starbucks causes a stir in Worthing youtu.be/q2fmNAewrQk via @YouTube,neutral
137,From my mums travels and friends/family sending her @starbucks mugs... I think my mum has one of� instagram.com/p/_96smYgUcl/,neutral
138,"Three of us.. Me, #GingerbreadLatte and #MySpot, wishes you all a #HappyNewYear
@StarbucksUK #Southampton pic.twitter.com/9NWIL8LjvA",neutral
139,"These guys pay me to exercise. Real cash vouchers for Amazon, Starbucks, iTunes and loads more.Start earning now @bountsit",neutral
140,RT @lilysoutter: It's #Giveaway time! #RT & #Follow us to #Win this Starbucks voucher! Ends Mon 4th Jan #Comp pic.twitter.com/KShjsVHELJ csxg,neutral
141,"RT @ruinedpicnic: [starbucks cup says 'Jorsh' instead of Josh]
me: fucking starbucks
some guy named Jorsh: that guy just took my latte",negative
142,New Year's Eve and im having a bath but had a Starbucks earlier ?? pic.twitter.com/2UsfM0pSKx,neutral
143,Waiting for boat boarding time! Then fireworks and an awesome start to 2016 (at @StarbucksUk) swarmapp.com/c/lJohJbITqVU,positive
144,"RT @ruinedpicnic: [starbucks cup says 'Jorsh' instead of Josh]
me: fucking starbucks
some guy named Jorsh: that guy just took my latte",negative
145,I prefer Starbucks.,positive
146,My life is complete!! A @starbucks mug! @_GraemeHall pic.twitter.com/QMCBfsSWQy,neutral
147,The coffee bean downtown PS gets no where near as packed as Starbucks does in the mornings.,neutral
148,"RT @fuckitlist49: Triple whiskey straight. Sir, this is Starbucks. Jesus Christ, venti whiskey.",neutral
149,...my last Starbucks of the year was made to perfection God I'm so happy ?? #littlethings x X,positive
150,RT @OfficialBradlee: I haven't had Starbucks yet don't fucking talk to me ,neutral
151,Love my new @starbucksuk mug. I have such a sad life! Haha. #starbucks #mug #coffee #sales instagram.com/p/_93reYzNC-/,positive
152,"""Next time we revise we'll go 3 buy Starbucks, take them home and revise"" @velvetzoex",neutral
153,Sorry to say @Starbucks but Ipswich Suffolk store is always filthy dirty. Not nice.,neutral
154,RT @OfficialBradlee: Im playing Pocahontas loudly in Starbucks bc I have 0 fucks to give,neutral
155,RT @ddaappoo: when coffee shops cant afford wifi cos a local Starbucks stole customers so they get marketing tips from GCSE papers twitter.com/theguyliner/st�,neutral
156,RT @TijansBooks: Here I go again. #Amwriting #davina #davyharwoodseries #Coffee #Starbucks #lovetoread #writer instagram.com/p/_7n0sWjri8/,positive
157,"RT @73westy73: @StarbucksUK amazing guy called Hobson working M6 Corley services, polite, great customer service. A credit make sure you let him know!!",positive
158,@Babeballinger my first Starbucks #typicalwhitegirl pic.twitter.com/WEP3bPHdIV,neutral
159,Last festive coffee of the year. Thankyou for keeping me going in 2015 Starbucks. Now I'll just� instagram.com/p/_92f3Mm82B/,positive
160,Starbucks and McDonalds had me late ,neutral
161,"RT @TheJohnJohnShow: I saw a guy today at Starbucks. He had no iPhone, tablet or laptop. He just sat there drinking his coffee. Like some sort of fucking lunatic",neutral
162,RT @OfficialBradlee: I haven't had Starbucks yet don't fucking talk to me ,neutral
163,RT @OfficialBradlee: I haven't had Starbucks yet don't fucking talk to me ,neutral
164,RT @OfficialBradlee: I haven't had Starbucks yet don't fucking talk to me ,neutral
165,"RT @TheJohnJohnShow: I saw a guy today at Starbucks. He had no iPhone, tablet or laptop. He just sat there drinking his coffee. Like some sort of fucking lunatic",neutral
166,"@StarbucksUK how would I be able to recreate your ""Eggnog Latte""?",neutral
167,"Nike,Kellogs,Sky,Starbucks Man Utd are family businesses, Educate, train your children, husband, wife to be part of your team #entrepreneur",neutral
168,I wish this train had a Starbucks on it,neutral
169,@yaseminv1 @StarbucksUK are you talking to me or Starbucks?,neutral
170,RT @AgathaJJones: @yaseminv1 @StarbucksUK why do I find this so funnny,neutral
171,"""Their coffee is mediocre but their tea is wonderful"" - coming from a Starbucks drinker (probably), that's funny! twitter.com/RichOfTheBurns�",neutral
172,@StarbucksUK I order from you 24/7 and yous ignoring me now? @FrankiAlden,neutral
173,RT @alreadymjssjng: remember when zquad minus ellie did video indirects in starbucks wow good times,positive
174,@RoySmithMPS @LambethIAG i like the Starbucks cup and what they wrote!!,positive
175,I now love Starbucks pic.twitter.com/kfZZy35Yp4,positive
176,@StarbucksUK why you ignoring me for? ,neutral
177,RT @carlottawannabe: Ok off to find a Starbucks to warm up a bit!! Fecking freezing #LindsNYE,neutral
178,Ok off to find a Starbucks to warm up a bit!! Fecking freezing #LindsNYE,neutral
179,Some very socially aware graffiti on a loo door in my local Starbucks! pic.twitter.com/8xlwc5Rqib,neutral
180,I'm at Starbucks Harewood Place w/ @chris_d_ swarmapp.com/c/49x7YBcBVhJ,neutral
181,Awesome getting �5 cashback from @AskNationwide for shopping at #Starbucks! Whoop!,positive
182,I've just filled out @MySoCalledChaos' End of Year survey and entered to win a $15 Starbucks Gift card. Yay! mysocalledchaos.com/2015/12/end-of�,positive
183,Spent two glorious hours alone at Starbucks reading @KMWeiland's Outlining Your Novel and actually outlining this morning. #newyearnewbook,neutral
184,RT @averageameba: my dads took me to get my first Starbucks i am forever changed pic.twitter.com/kVF3GguIWI,neutral
185,"RT @artskidziam: the fandom is way too talented, just look at these starbucks stamps, this is sick pic.twitter.com/Itc5XzvuWg",neutral
186,Enjoying my coffee #NewYearsEve #starbucks pic.twitter.com/PreEY8xBqF,positive
187,RT @deegeemariegift: #love #loveyou #LoveYourself #ValentinesDay #valentine #coffee etsy.com/listing/255987� #etsymntt #Starbucks #cozy pic.twitter.com/QqPG52KwOF,positive
188,"On the motorway heading off for your #NYE celebrations?
Enjoy your favourite #Starbucks beverage along your journey pic.twitter.com/1AuYvbexac",positive
189,RT @amerezee13: @Starbucks #starbuckscups have inspired my latest holiday card illustration w great response #MerryChristmas pic.twitter.com/mJyQEo00RX,neutral
190,"@ChrisEubank English, best wishes to yourself, Claire and family for 2016 & beyond. And....I owe you a Starbucks Mr.Eu :-)",neutral
191,"I leant this week, there are over 600 Starbucks in downtown Seattle! That's a lot of coffee addicts!",neutral
192,RT @lilysoutter: It's #Giveaway time! Just #RT & #Follow us for a chance to #Win this Starbucks voucher! Ends Mon 4th Jan #Comp ?? pic.twitter.com/9DXC4oNHed,neutral
193,RT @coreydu: @JazRabadia @simonredfern @Starbucks @TheNewsChick We couldn't be any prouder of you. It is physically impossible ?? #MBE,neutral
194,RT @_ashixo: i love u!!! why were we late bc we went to STARBUCKS I hate us twitter.com/xyasii/status/�,neutral
195,Warming up with a hot chocolate before we watch the light parade starbucks_ie #lovedublin @� instagram.com/p/_9yP-tAYJz/,positive
196,"@KayBurley who? Have they managed to collect billions from Apple, Starbucks, Amazon et al? If not, then they don't deserve it",neutral
197,@StarbucksUK @Starbucks maybe you can help me here!? It's been days without a reply yet you're replying to other people....,neutral
198,@Starbucks happy new year ,positive
199,#BestMemoriesOf2015 Starbucks and gossip with @kirstywallace ,neutral
200,Starbucks charge for soy milk now? Less coffee from there for me then.,neutral
201,"@amotherthing Lol, hope it's worth it! Happy New Year! x @Starbucks",positive
202,"RT @iainbyrne: Starbucks, Wake Up and Smell the Coffee: Palm Oil Is Destroying Our Planet ecowatch.com/2015/12/18/sta� via @ecowatch",neutral
203,'How did you spend New Years Rachael?' In a Starbucks by myself waiting for my bloody bus,neutral
204,And I treated myself to a cute new cafeti�re and some Starbucks Colombian ground coffee to use with it ?,positive
205,@santinohassell psst - there are such a thing as coffee shops. Shops that sell coffee. It�ll be your saviour today. Just avoid Starbucks.,neutral
206,"RT @Buff_Bunnie: My fav. The end. ????
#fitchicks #starbucks #whitegirlstat Can you guess what's in the bag?! fb.me/7zs06phWI",neutral
207,RT @BenPhillipsUK: Netflix and Chill by night... Starbucks and stress by day! ,neutral
208,RT @lilysoutter: It's #Giveaway time! Just #RT & #Follow us for a chance to #Win this Starbucks voucher! Ends Mon 4th Jan #Comp ?? pic.twitter.com/9DXC4oNHed,neutral
209,RT @lilysoutter: It's #Giveaway time! Just #RT & #Follow us for a chance to #Win this Starbucks voucher! Ends Mon 4th Jan #Comp ?? pic.twitter.com/sVQQBOFcwQ,neutral
210,I want Starbucks so much I can smell it. This is not ok,neutral
211,Why do we need Starbucks in Brazil?,neutral
212,RT @thewhippasnappa: in a central london starbucks on new years eve applying for jobs in cardiff bay for 2016 ? ?? pic.twitter.com/NLC3h2zx4z,neutral
213,@thfc1983 depends on if the coffee is from Starbucks,neutral
214,"@Dreamy_Redlin3 @Xplosionmans also the Five Seven shot still to me, looks so fucking fishy, I need to stop drinking Starbucks LOL",neutral
215,@StarbucksUK just not at the 2 cafe @CenterParcsUK,neutral
216,RT @lilysoutter: It's #Giveaway time! Just #RT & #Follow us for a chance to #Win this Starbucks voucher! Ends Mon 4th Jan #Comp ?? pic.twitter.com/sVQQBOFcwQ,neutral
217,even tho I'm in pain my moms buying @Starbucks so it's okay,neutral
218,@StarbucksUK why can't we use our pre-paid Starbucks card at Center Parcs?,neutral
219,"RT @dominique_ot: Don't take a soccer player to Starbucks, she'll act a fool. #soccergirlprobs #nutmeg #literally @SoccerGrlProbs pic.twitter.com/RsKBkQUWb5",negative
220,im in starbucks on fleet street and they have some swanky ass wireless charging things its soooooo cool,positive
221,"RT @dominique_ot: Don't take a soccer player to Starbucks, she'll act a fool. #soccergirlprobs #nutmeg #literally @SoccerGrlProbs pic.twitter.com/RsKBkQUWb5",negative
222,@StarbucksUK my app is stuck on free reward but I have used it and it won't disappear,positive
223,RT @deegeemariegift: #DoctorWho #DrWho #tardis #bbc #coffee #whovian #Starbucks #tea etsy.com/listing/250089� #etsymntt #integritytt #fun pic.twitter.com/LriGt8fflP,positive
224,RT @deegeemariegift: #DoctorWho #DrWho #tardis #bbc #coffee #whovian #Starbucks #tea etsy.com/listing/250089� #etsymntt #integritytt #fun pic.twitter.com/LriGt8fflP,positive
225,@StarbucksUK my app is stuck on free reward but I have used it and it won't disappear,positive
226,"At least @SportsDirectUK pays its tax, unlike #Bootsplc, #Vodaphone, and #Starbucks, to name only three. @bbc5live",neutral
227,when you go out of your way to walk to Starbucks and on the way a guy harasses you and then you get to Starbucks and it's closed.,neutral
228,"@privateJ15 he�s also really into this independent coffee shop you haven�t heard of, Starbucks",neutral
229,Pretty sure this is gonna be my last festive coffee until next Christmas. I'm sad. #starbucks� instagram.com/p/_9rdjnBdW9/,negative
230,RT @MelissaOnline: #Coffee #fact -> @Starbucks holiday drinks range in popularity across the U.S.@amNewYork amny.com/eat-and-drink/�,neutral
231,"I saw a guy today at Starbucks. He had no smartphone, tablet or laptop. He just sat there drinking his coffee. Like a psychopath.",neutral
232,"RT @TraffordGolf: The Range and Starbucks close today at 6pm. Back open again tomorrow at 12pm, come whack some balls to clear your head! Happy New Year!!!",positive
233,RT @Adweek: Why @Starbucks sold out of those $200 Swarovski gift cards: adweek.it/1YR0gCd pic.twitter.com/CznWuGiYd2,neutral
234,@ZenRand I laughed when people got offended by the cups at Starbucks & the Doritos Rainbow design. There's worse things than that though:),negative
235,@CalumMcSwiggan they all work in Starbucks and are trying to drum up business.,neutral
236,"@CostaCoffee @Starbucks choosing between you both this year was so difficult some days I had both , you made my 2015 , we move tho ??",negative
237,RT @carterreynolds: I wish Starbucks was open 24/7,neutral
238,@mcplace @instruct @studiodbd @mrramsbottom @starbucksuk @eat_news haha even I know of this story!,neutral
